Date,Rh1,Rh2,Tmax,Tmin,Rainfall
1/1/1999,98.4,56.3,20.2,0.3,0
1/2/1999,100,56.6,21,0.8,0
1/3/1999,100,46.8,23.6,0.5,0
1/4/1999,98.4,47,22.2,1.2,0
1/5/1999,96.9,54.9,21.7,1,0
1/6/1999,96.8,58.3,21,0.2,0
1/7/1999,100,75,13.6,0.8,0
1/8/1999,100,52.3,20.1,1,0
1/9/1999,100,61.6,14.8,2.3,0
1/10/1999,100,58.8,17.1,1.2,0
1/11/1999,100,57.3,20.4,-2,0
1/12/1999,100,42.9,21,-1.4,0
1/13/1999,100,48.6,20.2,-0.2,0
1/14/1999,98.4,49.3,21,-0.9,0
1/15/1999,98.4,50.2,21.1,0,0
1/16/1999,100,50.2,21,0.5,0
1/17/1999,96.9,45.6,21,1.1,0
1/18/1999,82.6,49.7,21.7,1.4,0
1/19/1999,91.1,49.2,21.5,1.2,0
1/20/1999,100,48.2,21.5,1.2,0
1/21/1999,98.5,45.3,23,2.2,0
1/22/1999,98.6,41,23,2.1,0
1/23/1999,98.4,41.3,24.4,1.4,0
1/24/1999,81.4,41.2,23.5,2.6,0
1/25/1999,100,46.2,24.3,2.7,0
1/26/1999,100,46.3,22.6,3.2,0
1/27/1999,91.4,54.5,23.2,2.2,0
1/28/1999,100,59.1,22.2,2.6,0
1/29/1999,100,54.7,16,8.3,3.6
1/30/1999,100,49.6,21.2,1.7,0.6
1/31/1999,100,52.5,22.5,1.4,0
2/1/1999,100,51.2,22,1,0
2/2/1999,98.6,54.6,16.2,3.8,0
2/3/1999,100,52.3,20.4,2.5,0
2/4/1999,91.4,39.3,24,2.5,0
2/5/1999,76.1,31.3,25.2,7,0
2/6/1999,100,29.3,23.8,3.6,0
2/7/1999,98.6,48.4,24.5,2.8,0
2/8/1999,100,55.3,24.4,4.3,0
2/9/1999,95.3,51.8,25.6,8.1,0
2/10/1999,88.5,49.1,26.6,7.7,0
2/11/1999,97.6,38.6,27,6.1,0
2/12/1999,93.8,38.6,28.7,5.9,0
2/13/1999,97.4,26.9,28.5,5.2,0
2/14/1999,93.8,38.8,28.4,5.4,0
2/15/1999,90.3,53,26.6,6.7,0
2/16/1999,100,68.8,28.2,7.3,0
2/17/1999,98.7,24.5,29,5,0
2/18/1999,92.4,39.4,28.2,5.2,0
2/19/1999,97.5,40.3,27.2,5.7,0
2/20/1999,100,35.8,27,5.2,0
2/21/1999,90.6,54.7,26.4,8.9,0
2/22/1999,88.4,58.1,27.1,7,0
2/23/1999,93,58.1,25.5,7.9,0
2/24/1999,100,49.3,26.9,7.9,0
2/25/1999,87.3,43.3,25.1,8.7,0
2/26/1999,83.8,64.7,25.7,10.2,0
2/27/1999,95.5,44.7,25.2,9,4.2
2/28/1999,87.9,36.9,26,6,0
3/1/1999,87.2,32.5,24.8,3.6,0
3/2/1999,87.4,50.5,25.8,4.1,0
3/3/1999,81.9,46.1,27.2,6.8,0
3/4/1999,95.2,47.4,28.2,7.6,0
3/5/1999,82.9,54.3,28.1,8.2,0
3/6/1999,97.6,47.6,29.2,8.8,0
3/7/1999,98.9,50,29,9.5,0
3/8/1999,91.5,37,31,10.3,0
3/9/1999,71.4,30.7,31.1,8.7,0
3/10/1999,72.8,16.6,31,8.2,0
3/11/1999,50.6,20.9,29.5,7.1,0
3/12/1999,52,26.5,29.1,6.3,0
3/13/1999,63.1,26.4,28.1,5.5,0
3/14/1999,64.3,38.4,28,4.1,0
3/15/1999,73.9,48.9,25,6.4,0
3/16/1999,78.4,48,26.4,7.5,0
3/17/1999,76.9,25.6,29.5,7.4,0
3/18/1999,54,21.8,30,6.8,0
3/19/1999,62.4,37.6,30.2,6.3,0
3/20/1999,68.1,27.6,29.7,6.6,0
3/21/1999,69.9,36.5,28.7,4.8,0
3/22/1999,71,35.5,27,6,0
3/23/1999,77.1,40.3,27,5.7,0
3/24/1999,73.1,44.7,27.5,7.2,0
3/25/1999,76,30.4,28.5,8.5,0
3/26/1999,74.9,31.4,28.6,8.6,0
3/27/1999,61.4,55,27,7.7,0
3/28/1999,69.7,43.9,27.5,8,0
3/29/1999,74.3,45,28,11.2,0
3/30/1999,71.1,51.7,26.6,10.5,0
3/31/1999,73.8,54.1,29,13,0
4/1/1999,73.3,48.3,32,12.3,0
4/2/1999,76.9,30.1,32,12.8,0
4/3/1999,73.3,22.7,33,10.5,0
4/4/1999,57.2,20.6,33.2,12,0
4/5/1999,60.2,29.5,32.3,10.5,0
4/6/1999,42,35.6,30.3,8.6,0
4/7/1999,66.7,42.5,29.8,10.6,0
4/8/1999,69.9,70,29.2,13.3,0
4/9/1999,45,43.2,27.5,12,6
4/10/1999,81.4,55.6,28.6,14.8,0
4/11/1999,74.6,57.3,29.9,14.6,0
4/12/1999,80.9,54.9,30,16.2,0
4/13/1999,78.7,56.1,32.5,18.9,0
4/14/1999,75.8,40.9,33.8,16.6,0
4/15/1999,59.9,32.9,34.4,14.5,0
4/16/1999,64.6,24,32.1,11.9,0
4/17/1999,55.8,24.8,31.1,9.7,0
4/18/1999,61.4,28.5,30,10.3,0
4/19/1999,53.7,38.2,29.5,10.2,0
4/20/1999,64.8,42,30.6,12.7,0
4/21/1999,70.4,50.4,31.8,15.9,0
4/22/1999,69.6,58.9,32.7,17.6,0
4/23/1999,73.9,58.7,33.5,17.6,0
4/24/1999,62.5,52,34.5,16.2,0
4/25/1999,61.1,41.4,34,15.6,0
4/26/1999,58.3,41.5,35.6,15.6,0
4/27/1999,57,45.1,34.7,16.5,0
4/28/1999,67.1,39.8,35,16.6,0
4/29/1999,57.3,59.9,34.5,15.7,0
4/30/1999,72.9,61.5,32.5,16.7,0
5/1/1999,90.7,58.5,33.2,13.8,1.5
5/2/1999,85.9,43.8,32,13.4,7.2
5/3/1999,75,52.8,33.4,15.8,0
5/4/1999,83,62.3,33.8,17.6,T
5/5/1999,68.1,62.8,32.1,17.4,T
